Model,Seed,Temperature,Generated_Text
model_transformer_rmsprop.keras,شام,1.3,شام چاپ صبح جوشی کسی گويا آیا ہم کوئی ضروری برطرف قفس کو
model_transformer_rmsprop.keras,یاد,0.7,یاد رہی میں بھی وہ بے ہیں ہے کہ کیا نہیں تھا اپنا
model_transformer_rmsprop.keras,یاد,1.0,یاد گئے وہ گلگوں شب تمام جس طرح کوئی تمہارا دل تک نہیں
model_transformer_rmsprop.keras,یاد,1.3,یاد نہ کی دم پی قفس کیوں پہنچا سی نہیں درد تیرا چند
model_transformer_rmsprop.keras,خوشی,0.7,خوشی میں دل میں نہیں ہے بھی کیا رہا ہے ہم نے مگر
model_transformer_rmsprop.keras,خوشی,1.0,خوشی چاہے تری کعبے سے جس کے سال میں خس نقش میں کسی
model_transformer_rmsprop.keras,خوشی,1.3,خوشی کرے معاملہ سینہ کی غم محبت تھی پھر بناتا ٹھہرتے شہنشاہی آوے
model_transformer_sgd.keras,محبت,0.7,محبت میں ہوں اس کی طرح تک نہیں ہوں میں نہ ملا ہے
model_transformer_sgd.keras,محبت,1.0,محبت ٹک مجھے جی بھاری ہے کیا کیا ہوا نیا آئینہ نہیں ہوں
model_transformer_sgd.keras,محبت,1.3,محبت پیام لخت خوش سنگ تجکوں روپوش لگے ہے قمری غم دے سکے
model_transformer_sgd.keras,دل,0.7,دل میں نے تو نے پلکیں مرض آفت ہے کہ میں اور بھی
model_transformer_sgd.keras,دل,1.0,دل تجھ سنگار میں دور و طفلی دیس سمجھا جاتا ہے ہم ہیں
model_transformer_sgd.keras,دل,1.3,دل ابر خور بہ ہاری متقابل اوقات ہم کہاں آ لگتی ہے چیز
model_transformer_sgd.keras,شام,0.7,شام و گل میں ان میں سے نکلا تھا کہ مجھ سے آ
model_transformer_sgd.keras,شام,1.0,شام نہ ہے فرق سے حسیں دہراتے ہیں ہم پہ دم پروانہ ہے
model_transformer_sgd.keras,شام,1.3,شام یار کو بیکلی ہوتا آسماں بھی بہت اتنی روئے رنجش ہیں ہم
model_transformer_sgd.keras,یاد,0.7,یاد نہیں ہے خوش مرے لیے ہے ہم دل حیات و کرامات و
model_transformer_sgd.keras,یاد,1.0,یاد کسی کا کہ ادھر پتہ دیا تو نیا بات تھی پھر ویسی
model_transformer_sgd.keras,یاد,1.3,یاد نہیں ہوشیاری ٹیڑھے تھا مگر پیشہ فروش خیال میرا گزر گیا عادت
model_transformer_sgd.keras,خوشی,0.7,خوشی سے وہ ہم تم لوگ کچھ صحرا ہے کہ تو نہیں دیتے
model_transformer_sgd.keras,خوشی,1.0,خوشی میں اب ہوئی ہے جس کی طرح وہ نہ دیکھا ہے ہو
model_transformer_sgd.keras,خوشی,1.3,خوشی سے ہم کو جو عجب تاکہ تک نہیں کرے ہیں جان کم
